ym,event,n_articles
2020-05,financial_results,1
2020-08,financial_results,2
2022-05,financial_results,1
2022-07,clinical_study,1
2022-08,financial_results,1
2022-09,clinical_study,1
2022-09,conference_call_webinar,1
2022-10,partnerships,1
2022-11,clinical_study,1
2022-11,financial_results,1
2022-12,clinical_study,1
2022-12,financing_agreements,1
2023-01,press_releases,1
2023-02,advisory,1
2023-02,clinical_study,1
2023-02,earnings_releases_and_operating_results,1
2023-02,financing_agreements,1
2023-02,observation_status,2
2023-03,clinical_study,1
2023-03,financial_results,1
2023-03,trade_show,1
2023-04,business_contracts,1
2023-04,clinical_study,7
2023-04,conference_call_webinar,1
2023-05,annual_general_meeting,5
2023-05,clinical_study,10
2023-05,conference_call_webinar,1
2023-05,earnings_releases_and_operating_results,2
2023-05,financial_results,4
2023-05,geographic_expansion,1
2023-05,interim_information,1
2023-05,management_changes,2
2023-05,product_services_announcement,2
2023-05,shares_issue,2
2023-06,clinical_study,9
2023-06,conference_call_webinar,2
2023-06,exchange_announcement,1
2023-06,management_changes,2
2023-06,patents,1
2023-06,product_services_announcement,2
2023-06,shares_issue,2
2023-06,warrants_and_certificates,1
2023-07,clinical_study,3
2023-07,conference_call_webinar,2
2023-07,earnings_releases_and_operating_results,2
2023-07,management_changes,1
2023-07,partnerships,1
2023-07,press_releases,1
2023-07,research_analysis_and_reports,1
2023-07,shares_issue,1
2023-07,voting_rights,1
2023-08,clinical_study,7
2023-08,conference_call_webinar,3
2023-08,corporate_action,1
2023-08,earnings_releases_and_operating_results,1
2023-08,financial_results,8
2023-08,interim_information,1
2023-08,partnerships,2
2023-08,product_services_announcement,2
2023-08,regulatory_filings,2
2023-08,shares_issue,1
2023-09,changes_in_share_capital_and_votes,1
2023-09,clinical_study,9
2023-09,conference_call_webinar,4
2023-09,corporate_action,1
2023-09,exchange_announcement,1
2023-09,government_news,1
2023-09,management_changes,3
2023-09,patents,1
2023-09,product_services_announcement,1
2023-09,prospectus_announcement,1
2023-09,shares_issue,3
2023-10,clinical_study,22
2023-10,conference_call_webinar,4
2023-10,corporate_action,2
2023-10,earnings_releases_and_operating_results,5
2023-10,exchange_announcement,4
2023-10,financial_results,2
2023-10,management_changes,1
2023-10,mergers_acquisitions,1
2023-10,partnerships,4
2023-10,regulatory_filings,1
2023-10,shares_issue,1
2023-10,warrants_and_certificates,1
2023-11,clinical_study,22
2023-11,company_regulatory_filings,1
2023-11,conference_call_webinar,7
2023-11,contests_awards,2
2023-11,corporate_action,1
2023-11,earnings_releases_and_operating_results,6
2023-11,exchange_announcement,1
2023-11,financial_results,11
2023-11,management_changes,3
2023-11,patents,1
2023-11,press_releases,2
2023-11,product_services_announcement,4
2023-11,regulatory_filings,1
2023-11,shares_issue,3
2023-12,advisory,1
2023-12,annual_general_meeting,1
2023-12,clinical_study,19
2023-12,company_regulatory_filings,1
2023-12,conference_call_webinar,1
2023-12,exchange_announcement,1
2023-12,financial_results,1
2023-12,financing_agreements,1
2023-12,licensing_agreements,3
2023-12,management_changes,1
2023-12,mergers_acquisitions,1
2023-12,partnerships,1
2023-12,patents,2
2023-12,press_releases,1
2023-12,product_services_announcement,1
2023-12,shares_issue,2
2023-12,voting_rights,1
2024-01,advisory,1
2024-01,clinical_study,20
2024-01,conference_call_webinar,10
2024-01,corporate_action,1
2024-01,earnings_releases_and_operating_results,7
2024-01,exchange_announcement,2
2024-01,financing_agreements,8
2024-01,government_news,1
2024-01,licensing_agreements,1
2024-01,management_changes,5
2024-01,mergers_acquisitions,1
2024-01,partnerships,3
2024-01,patents,2
2024-01,press_releases,2
2024-01,product_services_announcement,2
2024-01,regulatory_filings,4
2024-01,shares_issue,7
2024-02,advisory,1
2024-02,business_contracts,1
2024-02,changes_in_companys_own_shares,1
2024-02,clinical_study,26
2024-02,conference_call_webinar,20
2024-02,corporate_action,2
2024-02,earnings_releases_and_operating_results,11
2024-02,exchange_announcement,1
2024-02,financial_results,7
2024-02,financing_agreements,4
2024-02,geographic_expansion,1
2024-02,interim_information,1
2024-02,joint_venture,1
2024-02,licensing_agreements,1
2024-02,management_changes,3
2024-02,partnerships,4
2024-02,patents,1
2024-02,press_releases,2
2024-02,product_services_announcement,5
2024-02,regulatory_filings,1
2024-02,research_analysis_and_reports,1
2024-02,shares_issue,8
2024-02,trade_show,2
2024-03,annual_general_meeting,1
2024-03,clinical_study,50
2024-03,conference_call_webinar,19
2024-03,corporate_action,3
2024-03,divestiture,1
2024-03,earnings_releases_and_operating_results,10
2024-03,exchange_announcement,1
2024-03,financial_results,13
2024-03,financing_agreements,5
2024-03,licensing_agreements,2
2024-03,management_changes,6
2024-03,partnerships,4
2024-03,patents,2
2024-03,press_releases,3
2024-03,product_services_announcement,1
2024-03,regulatory_filings,2
2024-03,shares_issue,4
2024-03,trade_show,4
2024-04,annual_report,1
2024-04,bankruptcy,1
2024-04,business_contracts,1
2024-04,clinical_study,65
2024-04,conference_call_webinar,14
2024-04,corporate_action,6
2024-04,earnings_releases_and_operating_results,8
2024-04,exchange_announcement,1
2024-04,financial_results,9
2024-04,financing_agreements,2
2024-04,geographic_expansion,1
2024-04,licensing_agreements,2
2024-04,management_changes,1
2024-04,mergers_acquisitions,2
2024-04,observation_status,1
2024-04,partnerships,2
2024-04,patents,2
2024-04,press_releases,4
2024-04,product_services_announcement,2
2024-04,regulatory_filings,4
2024-04,shares_issue,1
2024-04,warrants_and_certificates,1
2024-05,annual_general_meeting,8
2024-05,changes_in_companys_own_shares,1
2024-05,changes_in_share_capital_and_votes,1
2024-05,clinical_study,56
2024-05,conference_call_webinar,46
2024-05,contests_awards,2
2024-05,corporate_action,9
2024-05,delisting_notice,1
2024-05,earnings_releases_and_operating_results,15
2024-05,exchange_announcement,3
2024-05,financial_results,23
2024-05,financing_agreements,5
2024-05,geographic_expansion,1
2024-05,joint_venture,1
2024-05,major_shareholder_announcements,1
2024-05,management_changes,3
2024-05,mergers_acquisitions,1
2024-05,partnerships,1
2024-05,patents,4
2024-05,press_releases,2
2024-05,product_services_announcement,4
2024-05,regulatory_filings,1
2024-05,reverse_stock_split,1
2024-05,shares_issue,1
2024-05,trade_show,3
2024-05,voting_rights,1
2024-06,Patents,1
2024-06,annual_general_meeting,3
2024-06,business_contracts,2
2024-06,clinical_study,42
2024-06,conference_call_webinar,11
2024-06,contests_awards,1
2024-06,corporate_action,6
2024-06,exchange_announcement,3
2024-06,financial_results,1
2024-06,financing_agreements,4
2024-06,geographic_expansion,2
2024-06,law_legal_issues,1
2024-06,licensing_agreements,2
2024-06,management_changes,5
2024-06,mergers_acquisitions,1
2024-06,partnerships,1
2024-06,product_services_announcement,6
2024-06,regulatory_filings,6
2024-06,shares_issue,7
2024-06,voting_rights,1
2024-06,warrants_and_certificates,3
2024-07,advisory,1
2024-07,annual_general_meeting,1
2024-07,capital_investment,1
2024-07,clinical_study,38
2024-07,company_regulatory_filings,1
2024-07,conference_call_webinar,14
2024-07,corporate_action,6
2024-07,earnings_releases_and_operating_results,12
2024-07,environmental_social_governance,1
2024-07,financial_results,3
2024-07,financing_agreements,5
2024-07,geographic_expansion,1
2024-07,interim_information,1
2024-07,licensing_agreements,1
2024-07,management_changes,7
2024-07,mergers_acquisitions,3
2024-07,partnerships,3
2024-07,patents,2
2024-07,product_services_announcement,9
2024-07,production_services_announcement,1
2024-07,regulatory_filings,6
2024-07,shares_issue,7
2024-07,voting_rights,1
2024-07,warrants_and_certificates,1
2024-08,changes_in_share_capital_and_votes,1
2024-08,clinical_study,38
2024-08,conference_call_webinar,33
2024-08,corporate_action,5
2024-08,earnings_releases_and_operating_results,17
2024-08,exchange_announcement,2
2024-08,financial_results,31
2024-08,financing_agreements,4
2024-08,interim_information,1
2024-08,law_legal_issues,1
2024-08,licensing_agreements,2
2024-08,management_changes,8
2024-08,mergers_acquisitions,1
2024-08,partnerships,2
2024-08,patents,2
2024-08,product_services_announcement,8
2024-08,regulatory_filings,5
2024-08,shares_issue,5
2024-08,voting_rights,3
2024-09,advisory,2
2024-09,clinical_study,54
2024-09,company_regulatory_filings,4
2024-09,conference_call_webinar,24
2024-09,contests_awards,2
2024-09,corporate_action,7
2024-09,earnings_releases_and_operating_results,2
2024-09,exchange_announcement,1
2024-09,financial_results,3
2024-09,financing_agreements,9
2024-09,geographic_expansion,1
2024-09,government_news,1
2024-09,initial_public_offerings,2
2024-09,licensing_agreements,1
2024-09,management_changes,2
2024-09,partnerships,6
2024-09,patents,3
2024-09,press_releases,7
2024-09,product_services_announcement,11
2024-09,regulatory_filings,5
2024-09,share_capital_increase,1
2024-09,shares_issue,12
2024-09,voting_rights,1
2024-10,analyst_coverage,2
2024-10,annual_general_meeting,15
2024-10,annual_meetings_shareholder_rights,2
2024-10,annual_report,6
2024-10,bankruptcy,1
2024-10,bond_fixing,7
2024-10,business_contracts,31
2024-10,capital_investment,5
2024-10,changes_in_companys_own_shares,135
2024-10,changes_in_share_capital_and_votes,7
2024-10,clinical_study,56
2024-10,company_regulatory_filings,12
2024-10,conference_call_webinar,49
2024-10,contests_awards,3
2024-10,corporate_action,31
2024-10,dividend_reports_and_estimates,12
2024-10,earning_releases_and_operating_results,1
2024-10,earnings_releases_and_operating_results,167
2024-10,environmental_social_governance,14
2024-10,ex_dividend_date,1
2024-10,exchange_announcement,7
2024-10,extraordinary_general_meeting,2
2024-10,financial_calendar,22
2024-10,financial_results,83
2024-10,financing_agreements,22
2024-10,fund_data_announcement,7
2024-10,geographic_expansion,5
2024-10,government_news,1
2024-10,housing_cession,1
2024-10,initial_public_offerings,4
2024-10,insider_trading,1
2024-10,interim_information,21
2024-10,joint_venture,2
2024-10,law_legal_issues,4
2024-10,licensing_agreements,4
2024-10,major_shareholder_announcements,33
2024-10,management_changes,55
2024-10,management_statements,4
2024-10,managers'_transactions,1
2024-10,managers_transactions,9
2024-10,mergers_acquisitions,29
2024-10,observation_status,2
2024-10,partnerships,10
2024-10,patents,2
2024-10,press_releases,14
2024-10,product_services_announcement,11
2024-10,prospectus_announcement,20
2024-10,regulatory_filings,38
2024-10,restructuring,4
2024-10,share_capital_increase,11
2024-10,shares_issue,36
2024-10,trade_show,6
2024-10,trading_information,13
2024-10,voting_rights,18
2024-10,warrants_and_certificates,1
2024-11,PDMR_trading_notification,1
2024-11,advisory,3
2024-11,analyst_coverage,11
2024-11,annual_general_meeting,85
2024-11,annual_meetings_shareholder_rights,4
2024-11,annual_report,30
2024-11,attachment,1
2024-11,bankruptcy,6
2024-11,bond_fixing,109
2024-11,bonds_issue,1
2024-11,business_contracts,183
2024-11,capital_investment,49
2024-11,changes_in_companys_own_shares,870
2024-11,changes_in_share_capital_and_votes,53
2024-11,clinical_study,149
2024-11,company_regulatory_filings,91
2024-11,conference_call_webinar,155
2024-11,contests_awards,28
2024-11,corporate_action,176
2024-11,credit_rating,2
2024-11,credit_rating_changes,1
2024-11,credit_rating_updates,1
2024-11,dealings-securities-director-and-associates-director,1
2024-11,divestitures,2
2024-11,divestment,1
2024-11,dividend_reports_and_estimates,45
2024-11,earnings_releases_and_operating_results,510
2024-11,employee_share_ownership,1
2024-11,employee_share_purchase_programs,1
2024-11,employee_stock_ownership,1
2024-11,environmental_social_governance,57
2024-11,ex_dividend_date,28
2024-11,exchange_announcement,62
2024-11,exploration,1
2024-11,extraordinary_general_meeting,31
2024-11,extraordinary_general_meetings,1
2024-11,feature_article,1
2024-11,financial_calendar,119
2024-11,financial_results,297
2024-11,financing_agreements,98
2024-11,fund_data_announcement,15
2024-11,geographic_expansion,27
2024-11,government_news,10
2024-11,guidance_adjustment,1
2024-11,initial_public_offerings,11
2024-11,insider_transactions,1
2024-11,interim_information,63
2024-11,investor_relations,2
2024-11,joint_venture,4
2024-11,law_legal_issues,22
2024-11,licensing_agreements,13
2024-11,liquidity_agreements,1
2024-11,liquidity_contracts,1
2024-11,major_shareholder_announcements,259
2024-11,management_changes,197
2024-11,management_statements,15
2024-11,management_transactions,3
2024-11,managers'_transactions,3
2024-11,managers_transactions,11
2024-11,market_making,1
2024-11,market_research_reports,2
2024-11,mergers_acquisitions,196
2024-11,monthly_statement,1
2024-11,nomination_committee,3
2024-11,observation_status,8
2024-11,operational_update,1
2024-11,partnerships,84
2024-11,patents,11
2024-11,press_releases,122
2024-11,product_services_announcement,59
2024-11,profit_warning,2
2024-11,prospectus_announcement,48
2024-11,regulatory_filings,143
2024-11,research_analysis_and_reports,5
2024-11,restructuring,3
2024-11,share_capital_increase,50
2024-11,shares_issue,140
2024-11,stabilization_measures,1
2024-11,strategic_plans,1
2024-11,strategic_restructuring,1
2024-11,trade_show,5
2024-11,trading_information,43
2024-11,voting_rights,163
2024-11,warrants_and_certificates,31
2024-12,advisory,5
2024-12,analyst_coverage,2
2024-12,annual_general_meeting,27
2024-12,annual_report,13
2024-12,bankruptcy,7
2024-12,bond_fixing,20
2024-12,business_contracts,91
2024-12,capital_investment,18
2024-12,changes_in_companys_own_shares,403
2024-12,changes_in_share_capital_and_votes,15
2024-12,clinical_study,65
2024-12,company_regulatory_filings,30
2024-12,conference_call_webinar,29
2024-12,contests_awards,3
2024-12,corporate_action,47
2024-12,dividend_reports_and_estimates,14
2024-12,earnings_releases_and_operating_results,30
2024-12,environmental_social_governance,22
2024-12,ex_dividend_date,4
2024-12,exchange_announcement,28
2024-12,extraordinary_general_meeting,11
2024-12,extraordinary_meeting,1
2024-12,feature_article,1
2024-12,financial_calendar,110
2024-12,financial_results,29
2024-12,financing_agreements,26
2024-12,fund_data_announcement,9
2024-12,geographic_expansion,25
2024-12,government_news,2
2024-12,interim_information,4
2024-12,investor_update,1
2024-12,joint_venture,6
2024-12,law_legal_issues,7
2024-12,licensing_agreements,14
2024-12,major_shareholder_announcements,79
2024-12,management_changes,71
2024-12,management_statements,2
2024-12,management_transactions,1
2024-12,mergers_acquisitions,92
2024-12,milestone_achievement,1
2024-12,observation_status,9
2024-12,partnerships,32
2024-12,patents,3
2024-12,press_releases,50
2024-12,product_services_announcement,27
2024-12,prospectus_announcement,6
2024-12,recapitalization,1
2024-12,regulatory_filings,67
2024-12,related_party_transaction,1
2024-12,research_analysis_and_reports,9
2024-12,restructuring,3
2024-12,restructuring_proceedings,1
2024-12,settlement,1
2024-12,share buyback,1
2024-12,share_capital_increase,21
2024-12,shares_issue,67
2024-12,strategic_review,1
2024-12,trade_show,1
2024-12,trading_information,11
2024-12,voting_rights,99
2024-12,warrants_and_certificates,13
2025-01,acquisition,1
2025-01,advisory,5
2025-01,analyst_coverage,7
2025-01,annual_general_meeting,146
2025-01,annual_meetings_shareholder_rights,2
2025-01,annual_report,42
2025-01,bankruptcy,14
2025-01,bond_fixing,72
2025-01,business_contracts,190
2025-01,capital_investment,33
2025-01,certification,1
2025-01,changes_in_companys_own_shares,704
2025-01,changes_in_share_capital_and_votes,39
2025-01,clinical_study,130
2025-01,company_announcement,1
2025-01,company_regulatory_filings,67
2025-01,conference_call_webinar,100
2025-01,contests_awards,10
2025-01,corporate_action,97
2025-01,debt_restructuring,1
2025-01,dividend_reports_and_estimates,33
2025-01,earnings_releases_and_operating_results,399
2025-01,employee_share_savings_plan,1
2025-01,environmental_social_governance,39
2025-01,error,1
2025-01,ex_dividend_date,2
2025-01,exchange_announcement,49
2025-01,extraordinary_general_meeting,16
2025-01,feature_article,5
2025-01,financial_calendar,124
2025-01,financial_results,182
2025-01,financing_agreements,105
2025-01,fund_data_announcement,20
2025-01,geographic_expansion,29
2025-01,government_news,6
2025-01,initial_public_offerings,8
2025-01,insider_transactions,1
2025-01,insurance_claim_settlement,1
2025-01,insurance_settlement,1
2025-01,interim_information,49
2025-01,joint_venture,7
2025-01,law_legal_issues,20
2025-01,licensing_agreements,23
2025-01,liquidity_agreement,1
2025-01,liquidity_contract,6
2025-01,liquidity_contracts,3
2025-01,liquidity_provider_appointment,1
2025-01,major_shareholder_announcements,170
2025-01,management_changes,182
2025-01,management_statements,3
2025-01,managers'_transactions,1
2025-01,managers_transactions,5
2025-01,market_research_reports,4
2025-01,mergers_acquisitions,151
2025-01,observation_status,12
2025-01,orphan_drug_designation,1
2025-01,partnerships,71
2025-01,patents,11
2025-01,pre-release_comments,1
2025-01,press_releases,87
2025-01,product_services_announcement,55
2025-01,profit_warning,1
2025-01,prospectus_announcement,15
2025-01,regulatory_filings,127
2025-01,research_analysis_and_reports,1
2025-01,restructuring,6
2025-01,restructuring_initiatives,1
2025-01,share_capital_increase,32
2025-01,shares_issue,91
2025-01,strategy_development,1
2025-01,technical_issue,3
2025-01,trade_show,5
2025-01,trading_information,78
2025-01,transactiondirigenteen,1
2025-01,transparency_notification,1
2025-01,voting_rights,177
2025-01,warrants_and_certificates,15
2025-02,It seems that the news content you provided is empty. Could you please provide a specific piece of news or more context so I can help you pick the best tag?,1
2025-02,Please provide specific details or context about the news so I can choose the most appropriate tag.,1
2025-02,Please provide the specific news content for accurate tagging.,1
2025-02,The best tag for this news is: partnerships,1
2025-02,The news does not contain any information or context for which to choose a tag.,1
2025-02,"Without any news content provided, I'm unable to select the most appropriate tag from the list. If you could provide some context or details about the news, I would be able to give you a suitable tag.",1
