term_sha256,df_in_ma_train,idf
6557739a67283a8de383fc5c0997fbec7c5721a46f28f3235fc9607598d9016b,48,3.70396
fb8e20fc2e4c3f248c60c39bd652f3c1347298bb977b8b4d5903b85055620603,37,3.95819
036a27ced5fa099a34c38ed088a111984afdbfb741ee8bf5a8937df084ea48a8,11,5.11087
d5df61d74243bc947cb918e03f0d8269d1889c29377d97cb02a2a4f67f689bf8,56,3.55273
7bcde334bfa6108f0f9d3ce6aba0020c71400e89e7760332bc9f6218c2346e2c,10,5.19789
7ccab80fdcb9bdbd7ed2aa9e683f708ad7d0204b4da1802ac71f381125b19c18,86,3.12987
31de312977fc2ebdfead5003842e1a6cea1f1ea29b8de13ff4e9e3e90b2b47a1,190,2.34351
624c955406208680624b70ecf3941f4d7477c338ef91dc0246c5a0947cbd6b61,14,4.88773
46a81739c6ee7c1d5ed084e7de843a7ed79435cd445513e4dd5c4e5ac395fb4b,47,3.72458
e565dd60909ee3e6b1a19f3493652511c578cdcbe54c9c91600ecc0eaf063b01,13,4.95672
93c19dc00dae7cf1d667fbd3297309fc3e507af92e2ded2432700d8d3005a247,38,3.93222
b323ba8eb5a4df2f162b251ea20b37f6887c7f88714de8ab70ebb4dc99beade5,42,3.83458
859169b38185780daa5497983ff20d2994390058d8a71f2847ac7846f970971e,12,5.03083
210760fba8185013b53530a17160a0cb03788b5c9e1c1426154eae50b6b562b4,10,5.19789
11d40417959631d3d2420e8cd8709893c11cd7a4db737af63e8d56cfa7866f85,32,4.09927
bd08022e8fb80701512cd13c5f36b2ee06065bcde73329f41423dbd086c27281,30,4.16179
ab0fcec08e18a7bccda1e81df4974e3434fcd36000518f7e776fb85495b5a494,11,5.11087
b0eb83deba26d9cb5f9ea8b8f63e1cc3d01d3e58ce21e213b9e31c28a2cb2d8a,13,4.95672
f168ccdd91548c5a8c871bd4b9b757c5e889a1672e774bddef4a2714759a7a8f,28,4.22848
4ddb3e96801a1ee2b77dc5247c0db478d5f97a93b90e7cdb09f5f51d43764b08,26,4.29994
68c4c71cc1d8de69af11d8cb9072e1714ba3c2067cc852f101691b4a92854200,57,3.53534
7242dfd44b1ebef4fa2ad4d3abf2fea23ff5a4c798e2a8db6e6c033ea39e29c6,12,5.03083
65a07093bf150e9879769b43302eb02fdc1d1f33860108f6651a21e5c48f667d,14,4.88773
bfa16e1513837a8cc70514a8a181fc74369ed264eb87277837e1c3691500ac1a,15,4.82319
8745f86640ad2ed6b8a2fd428845df3daa1cfcdba9ef74c0cfaa57cacec34f5b,19,4.60005
ccf601bc516cd0a99e558b4dd0c2a660c58a45a7fa2f3151877c9f3e66cba88b,10,5.19789
